,0,1
0,0,"0.086*""process"" + 0.042*""communication"" + 0.024*""whole"" + 0.019*""perfect"" + 0.014*""ordering"" + 0.008*""smooth"" + 0.006*""regard"" + 0.004*""straightforward"" + 0.004*""simple"" + 0.002*""stuff"""
1,1,"0.044*""money"" + 0.038*""professional"" + 0.035*""start"" + 0.032*""finish"" + 0.031*""save"" + 0.012*""easily"" + 0.009*""amazing"" + 0.009*""value"" + 0.005*""faultless"" + 0.004*""painless"""
2,2,"0.119*""recommend"" + 0.071*""would"" + 0.056*""definitely"" + 0.038*""helpful"" + 0.034*""highly"" + 0.032*""staff"" + 0.024*""friendly"" + 0.019*""service"" + 0.013*""excellent"" + 0.012*""friend"""
3,3,"0.019*""rate"" + 0.012*""continue"" + 0.010*""motor"" + 0.006*""guarantee"" + 0.006*""performance"" + 0.005*""grip"" + 0.004*""sport"" + 0.004*""independent"" + 0.004*""noise"" + 0.004*""vast"""
4,4,"0.042*""deal"" + 0.020*""smoothly"" + 0.016*""transaction"" + 0.008*""go"" + 0.007*""impressed"" + 0.006*""anywhere_else"" + 0.006*""tyer"" + 0.005*""serious"" + 0.003*""contract"" + 0.003*""pleasure"""
5,5,"0.049*""tyre"" + 0.026*""fit"" + 0.025*""time"" + 0.021*""garage"" + 0.015*""car"" + 0.015*""go"" + 0.015*""day"" + 0.015*""order"" + 0.013*""get"" + 0.011*""would"""
6,6,"0.026*""complaint"" + 0.004*""fashion"" + 0.003*""sensible"" + 0.002*""classic"" + 0.002*""mileage"" + 0.002*""forget"" + 0.002*""important"" + 0.002*""fill"" + 0.002*""worked_perfectly"" + 0.001*""humour"""
7,7,"0.041*""delivery"" + 0.027*""wheel"" + 0.010*""high"" + 0.010*""balance"" + 0.008*""torque"" + 0.007*""standard"" + 0.007*""valve"" + 0.007*""damage"" + 0.005*""nut"" + 0.005*""alloy"""
8,8,"0.044*""customer"" + 0.035*""fault"" + 0.020*""team"" + 0.006*""seamless"" + 0.004*""support"" + 0.003*""welcome"" + 0.003*""machine"" + 0.003*""total"" + 0.003*""care"" + 0.002*""leo"""
9,9,"0.074*""service"" + 0.064*""price"" + 0.063*""good"" + 0.053*""use"" + 0.047*""easy"" + 0.046*""great"" + 0.045*""tyre"" + 0.030*""excellent"" + 0.024*""fit"" + 0.019*""fitting"""
