,Topics,map
topic 0,tyre  price  deliver  choice  definitely  good  tell  time  would  next  book  garage  seem  mean  competitive,none
topic 1,time  garage  price  service  good  tyre  purchase  local  easy  delivery  competitive  change  quick  fitting  back,"0, 3,6, 8, 7"
topic 2,tyre  service  experience  garage  great  price  finish  floorless  start  ease  convenient  value  site  wrong  overall,"3, 1,0, 4, 11"
topic 3,could  tell  tyre  time  say  appointment  would  garage  look  redact  do    friday  available  email,4
topic 4,great  tyre  competitive  customer  ordering  want  pricing  part  error  fuss  never  choice  sort  services  service,4
topic 5,tyre  redact  garage  quick  service  price  take  brilliant  good  time  professional  best  value  offer  change,"0,1,4"
topic 6,centre  redact  tyre  price  service  good  experience  definitely  would  fit  many  want  best  local  professional,4
topic 7,tyre  easy  price  fitting  garage  time  competitive  redact  choose  choice  good  recommend  great  first  use," 6, 0, 1"
topic 8,tyre  excellent  price  value  easy  fitting  great  money  time  best  type  information  choice  choose  location,"1,  12,  "
topic 9,garage  good  tyre  find  easy  however  choose  website  definitely  friendly  fit  could  best  price  selection,"4, 3, 6,10"
topic 10,time  price  tyre  efficient  fit  redact  could  good  thanks  like  reliable  say  service  call  pay,7
topic 11,fitting  service  easy  great  price  garage  convenient  good  rectify  deflate  issue  use  times  efficient  tyre,"4, 9"
topic 12,great  price  service  excellent  tyre  competitive  local  easy  website  garage  round  ideal  highly  fitting  choice,"1, 5, 10, 12"
topic 13,good  service  price  great  choice  use  fitter  rolling  twice  keep  extremely  could  tell  tyre  appointment,"1, 4, 8"
topic 14,time  date  fitting  slot  garage  actually  book  specific  redact  tyre  happy  several  well  convenience  late,"10, 3, 2"
